loss mouse rep drug sex
5 1 1 A M
6 1 2 A M
7 2 1 B M
6 2 2 B M
21 3 1 C M
15 3 2 C M
5 4 1 A M
4 4 2 A M
7 5 1 B M
7 5 2 B M
14 6 1 C M
11 6 2 C M
9 7 1 A M
9 7 2 A M
9 8 1 B M
12 8 2 B M
17 9 1 C M
12 9 2 C M
7 10 1 A M
6 10 2 A M
6 11 1 B M
8 11 2 B M
12 12 1 C M
10 12 2 C M
7 13 1 A F
10 13 2 A F
10 14 1 B F
13 14 2 B F
16 15 1 C F
12 15 2 C F
6 16 1 A F
6 16 2 A F
8 17 1 B F
7 17 2 B F
14 18 1 C F
9 18 2 C F
9 19 1 A F
7 19 2 A F
7 20 1 B F
6 20 2 B F
14 21 1 C F
8 21 2 C F
8 22 1 A F
10 22 2 A F
6 23 1 B F
9 23 2 B F
10 24 1 C F
5 24 2 C F
