    skull  skull up   M3   Pm  pal  fora      low  mand  num
    leng   width too dist dist FM   magn I3+C too  hei

"T"  17.99 8.19 7.70 2.10 1.23 7.80 2.61 1.12 5.38 4.25 144
"B"  17.89 8.10 7.74 2.02 1.19 7.67 2.63 1.16 5.40 4.21 16
"Ag" 17.95 8.10 7.77 2.03 1.13 7.81 2.56 1.12 5.32 4.24 12
"Mn" 18.06 8.16 7.70 2.09 1.25 7.98 2.74 1.12 5.37 4.31 7
"My" 17.93 8.16 7.65 2.07 1.17 7.78 2.61 1.14 5.28 4.22 90
"S"  18.10 8.10 7.84 2.21 1.23 7.71 2.55 1.10 5.43 4.33 25
"J"  17.65 8.06 7.52 2.18 1.20 7.67 2.67 1.04 5.22 4.25 6
"Al" 19.63 8.97 8.45 2.46 1.26 8.57 3.17 1.42 5.70 4.79 26
"G"  19.48 8.70 8.50 2.41 1.29 8.54 3.08 1.37 5.81 4.69 53
"C"  19.98 9.12 8.61 2.42 1.30 8.66 2.98 1.41 5.85 4.87 20
